date,open,high,low,close,volume,per,pbr,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,ind,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
20191113,11600,12100,10750,11100,15462185,36.65,1.92,5.34,,0.09009009009009006,-0.03153153153153154,,,,,,,,,,,,,0.3025223149250898,,,,,,,-0.1504397987735886,,,,,,,-0.1507674368143959,,,,,,
20191114,11150,11750,10800,11650,3649312,36.65,1.92,5.34,0.0045045045045044585,0.008583690987124415,-0.07296137339055797,0.04954954954954949,-0.7639847149675159,,,,,,,,,,,0.05025988460290597,-0.2522624303221838,,,,,,0.1039108193544427,0.2543506181280313,,,,,,-0.16393994265220402,-0.01317250583780813,,,,,
20191115,11950,12500,11600,12200,5304317,36.65,1.92,5.34,0.025751072961373467,0.024590163934426146,-0.049180327868852514,0.047210300429184615,0.4535115112108803,,,,,,,,,,,0.004679018995282521,-0.04558086560762345,,,,,,0.017461060490917116,-0.08644975886352559,,,,,,-0.014755905425712678,0.14918403722649135,,,,,
20191118,12200,12550,12000,12200,2652187,36.65,1.92,5.34,0.0,0.028688524590164022,-0.016393442622950838,0.0,-0.4999946270179554,,,,,,,,,,,-0.0523782825268354,-0.05705730152211792,,,,,,0.05487772920989357,0.03741666871897645,,,,,,-0.014515944765584026,0.00023996066012865226,,,,,
20191119,12300,12350,11650,11900,1411800,36.65,1.92,5.34,0.008196721311475308,0.037815126050420256,-0.021008403361344574,-0.024590163934426257,-0.467684593884217,0.007620660457239525,-0.7521401220464988,,,,,,,,,0.02253435330783397,0.07491263583466937,0.06552345786085537,,,,,-0.024705340699815836,-0.0795830699097094,0.00022089391636979024,,,,,0.003577702224111064,0.01809364698969509,-0.06808030548675711,,,,
20191120,11850,11850,11200,11250,1859794,36.65,1.92,5.34,-0.004201680672268893,0.05333333333333323,-0.004444444444444473,-0.054621848739495826,0.31732115030457564,-0.04983108108108103,-0.37496042657962647,,,,,,,,,0.18705781392992987,0.1645234606220959,0.04243055766182339,,,,,-0.18117382892944056,-0.15646848822962472,-0.005925912114800602,,,,,-0.008865498006768491,-0.012443200230879555,-0.03969991772523163,,,,
20191121,11250,11400,10750,10800,1441331,36.65,1.92,5.34,0.0,0.05555555555555558,-0.00462962962962965,-0.040000000000000036,-0.2250050274385228,-0.07455012853470433,-0.43117760082163126,,,,,,,,,0.049800496901822,-0.13725731702810787,0.04233868012160659,,,,,0.08415832310551843,0.26533215203495897,-0.009876411364585452,,,,,-0.1103972647504286,-0.10153176674366012,-0.028991382144876548,,,,
20191122,10900,11150,10800,10850,953073,36.65,1.92,5.34,0.0092592592592593,0.02764976958525356,-0.004608294930875556,0.004629629629629539,-0.3387549424802492,-0.04824561403508776,-0.4271148093003462,,,,,,,,,0.23424438631668298,0.18444388941486098,0.08825175358588669,,,,,-0.07830564920000882,-0.16246397230552725,-0.029029753302770644,,,,,-0.17968403259771287,-0.06928676784728427,-0.061977007579276586,,,,
20191125,11000,11100,10850,11000,596616,36.65,1.92,5.34,0.01382488479262678,0.009090909090909038,-0.013636363636363669,0.01382488479262678,-0.3740080770308255,-0.014336917562724039,-0.52366855118326,,,,,,,,,-0.014109578020032987,-0.24835396433671597,0.09590549448724717,,,,,0.11872125454228516,0.19702690374229398,-0.016261048236292326,,,,,-0.10385071804980088,0.07583331454791199,-0.07984396223611996,,,,
20191126,11000,11050,10600,10700,1143632,36.65,1.92,5.34,0.0,0.032710280373831724,-0.009345794392523366,-0.027272727272727226,0.9168644488247046,-0.020146520146520186,-0.0460903309496824,-0.05851297844258685,-0.6682648354871972,,,,,,,0.3314090546609399,0.3455186326809729,0.15768043475786836,0.11160194630936186,,,,-0.29749167564391343,-0.4162129301861986,-0.07081831522511184,-0.03529871065437103,,,,-0.038122403010758706,0.06572831503904217,-0.08818398328309392,-0.07813214438492551,,,
