date,open,high,low,close,volume,per,pbr,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,ind,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
20150102,51600,52600,51600,52300,616867,6.2,0.78,13.48,-0.013384321223709361,0.005736137667303964,-0.013384321223709361,0.0,-0.1478748915620044,-0.014694800301431776,0.0772184657939956,-0.011529011529011535,-0.22473027804501933,-0.040190860708386844,-0.1753483751294811,-0.03960335434902362,-0.3231240183456481,-0.06719579078788962,-0.3972359459188436,0.14038358349530775,-0.0238246948132253,-0.037747511233826005,0.030017496789722604,-0.025901924065089732,-0.0750768445586679,,-0.342684889935756,-0.026499034118230236,-0.11725458236658018,-0.13546072155183914,-0.021114952883015552,0.01890586066351263,,-0.027736935190243603,0.027453169739057585,-0.037469157330839206,-0.02831142642906641,-0.02733244293660615,0.020379342358233254,
20150105,52200,52300,51600,52000,651421,6.2,0.78,13.48,-0.0019120458891013214,0.005769230769230749,-0.007692307692307665,-0.005736137667303964,0.05601531610541666,-0.01365705614567525,0.16854152278618395,-0.01626939084373813,-0.05947142669859984,-0.04270986745213545,-0.1364687935131994,-0.04391260380596329,-0.27627077932480926,-0.0722293258794493,-0.3621701235097078,0.11676780453807906,-0.02361577895722869,0.017120232939845652,0.0062745960098418655,-0.021945511448846065,-0.0693530335195866,,-0.3609770025835827,-0.018292112647826653,-0.211318830293572,-0.15741683772830026,-0.04708802458813891,0.012435295300640263,,0.020412298651716787,0.04814923384196039,-0.042770256230895,-0.0022420414491876087,-0.016258160672864674,0.01743105930510355,
20150106,51500,51600,50900,51200,777311,6.2,0.78,13.48,-0.009615384615384581,0.0078125,-0.005859375,-0.01538461538461533,0.19325443914150764,-0.018404907975460127,0.2568399226083433,-0.028831562974203306,0.20157685214197785,-0.052115153198185715,0.05959781927412933,-0.05726385564352787,-0.13278689652440967,-0.08612226684515845,-0.23833964147711584,0.1277082146013629,0.010940410063283834,0.10911780656708588,0.006728835923300426,0.00899389697586737,-0.0645767648163363,,-0.32810676807609823,0.03287023450748444,-0.3044710797342295,-0.1779324830371934,-0.0830383698032191,0.0061989736509940885,,0.0008838161302232954,-0.01952848252149349,-0.05099808910955209,0.004914755895045671,-0.021362874822866137,0.015555495098941144,
20150107,50500,52100,50500,51800,598333,6.2,0.78,13.48,-0.013671875,0.005791505791505891,-0.025096525096525046,0.01171875,-0.2302527559754075,-0.0023112480739599928,-0.11169833080352787,-0.01633118116217247,-0.03723520399978297,-0.035740878629933026,-0.1757440486850379,-0.044838501490519045,-0.3230215950385714,-0.0750825819123293,-0.41361147047165414,0.08677776422159567,-0.040930450379767225,0.12716912903297573,-0.006321876537330529,0.026497122315891086,-0.06091134618145702,,-0.07346076515920065,0.2546460029168976,-0.2842830563144327,-0.1573931807447113,-0.09769412236380051,0.00570057530883232,,-0.17672098981670742,-0.1776048059469307,-0.0476703830308624,-0.0068216363149726355,-0.03257655543247801,0.009527975666466924,
20150108,51800,52600,51800,52200,701430,6.2,0.78,13.48,0.0,0.00766283524904221,-0.007662835249042099,0.007722007722007707,0.17230705978109184,0.005780346820809301,0.04836188131508634,-0.0076045627376425395,0.11545286180775771,-0.023660338539231218,-0.04613515295147963,-0.03621872788257374,-0.20492023074841192,-0.06763515122648245,-0.31172024433344214,0.06918152916185506,-0.017596235059740603,0.10816377920364013,0.00048765499445791447,0.03457322557264362,-0.05588740278714387,,0.023393638709493462,0.09685440386869411,-0.21636715740902884,-0.14017284648025627,-0.10001765246225688,-0.0014642108570563372,,-0.3179262364027772,-0.14120524658606975,-0.10021760932555761,-0.03752008266667582,-0.04816015442739065,0.008322288128480706,
20150109,52700,54400,52500,53400,927979,6.2,0.78,13.48,0.009578544061302763,0.01872659176029967,-0.016853932584269704,0.02298850574712641,0.32298162325534974,0.024558710667689887,0.2689533687372041,0.015209125475285079,0.4233431098357996,0.0018761726078799779,0.22610381238390231,-0.01348605209680398,0.05104863161810824,-0.0461872795201167,-0.08971668016672885,-0.27979835750593496,-0.34897988666779,0.024127391003391573,-0.006810060115217243,0.017920554914527268,-0.06056191619815599,,0.014257865749117167,-0.009135772960376294,-0.1449786062720542,-0.13111659431931716,-0.08128550029628134,-0.0016403152841612835,,0.10881280718636951,0.4267390435891467,-0.07290766085023496,-0.05518840909053711,-0.05637781755201776,0.010578961794189984,
20150112,52900,53800,52700,53000,589295,6.2,0.78,13.48,-0.009363295880149836,0.015094339622641506,-0.005660377358490565,-0.0074906367041198685,-0.36496946590386203,0.012996941896024516,-0.1802477111286942,0.009139375476009182,-0.07658226925760692,-0.003103545565691701,-0.22582647961277602,-0.020272351962536184,-0.3305750448535376,-0.05299364195416856,-0.4184946757183573,-0.10461144248636083,0.17518691501957412,-0.020148458401496403,-0.0015141127308253995,0.01283764888969478,-0.06238712622035902,-0.07259592520271275,-0.07960868495405526,-0.09386655070317243,-0.08870494274614873,-0.15001188651986036,-0.08154920668146086,-0.0036492214012680733,0.03001400690864705,-0.07162456834013525,-0.18043737552650477,-0.09131503424860539,-0.06704264523975022,-0.06217294290127125,0.009952685127391253,0.013838040432218706
20150113,54500,54800,53600,54200,1145916,6.2,0.78,13.48,0.028301886792452935,0.011070110701107083,-0.011070110701106972,0.02264150943396226,0.9445540858144053,0.024187452758881234,0.4457855038906593,0.0315949752569471,0.6241972674066898,0.019371826217791988,0.5041823864263972,0.0016324267717990892,0.3149977285172556,-0.03129235489492266,0.1354586060195062,-0.18342443948771114,-0.07881299700135032,-0.08237498921931122,0.013371408673887298,-0.0055279029001874345,-0.0660314885803083,-0.07191242941964797,-0.038162483113945524,0.04144620184010974,-0.030716085753718186,-0.1675935827439738,-0.09027926053865817,-0.0026152542561103877,0.028321685455210074,0.1641673560714747,0.23579192441160995,-0.058658326260355095,-0.054828207684953625,-0.03755793011862189,0.011583709192251296,0.014387177883651799
20150114,54700,54900,53300,53600,857911,6.2,0.78,13.48,0.009225092250922495,0.02425373134328357,-0.005597014925373123,-0.011070110701106972,-0.2513316857431086,0.006006006006006093,0.015872944449667692,0.019011406844106515,0.13026108445968232,0.009986809873751668,0.12959013546941933,-0.009547274407144979,-0.009690113973636949,-0.04171632896305133,-0.15013922825643677,-0.07040007646480811,0.11302436302290303,-0.11381055735659196,0.006679285838191845,0.008251406845010236,-0.06516921954819291,-0.07075578867647894,-0.24938717419405976,-0.21122469108011424,-0.06590136756069001,-0.17509221193756136,-0.1151456241116442,-0.006164524504035593,0.026730005317356694,0.09407968891878062,-0.07008766715269409,-0.004498190513257496,-0.026084286772059973,-0.03761960928031244,0.0105291929055725,0.013092992290197869
20150115,53200,53400,52100,52500,1137595,6.2,0.78,13.48,-0.007462686567164201,0.017142857142857126,-0.007619047619047636,-0.020522388059701524,0.3260058444290841,-0.015748031496062964,0.22093714636026918,-0.0022805017103763037,0.42127280936744826,-0.007561436672967825,0.4289182880237632,-0.029126213592232997,0.3012583633183996,-0.06089289707088019,0.12492782521930623,0.10305249231932279,0.1734525687841309,-0.10703636472509843,0.0005637072392708192,0.01711279349463357,-0.05793382661846775,-0.06730362641765432,-0.25872740298612423,-0.009340228792064476,-0.12232557589981355,-0.16934636665442118,-0.13286458577601812,-0.012216491668592752,0.025572960994650944,-0.009029575551931927,-0.10310926447071254,0.05728114165691156,-0.021468233834323048,-0.03748465565137517,0.006659324652574062,0.009496750166587393
