date,open,high,low,close,volume,per,pbr,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,ind,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
20150102,59000,59500,58700,58800,281751,6.58,1.04,17.16,-0.0016920473773265332,0.011904761904761862,-0.00170068027210879,-0.005076142131979711,-0.24644956645930172,-0.00976759851801956,-0.15756108295848548,-0.008766014834794333,-0.54277367515187,-0.03376879467586891,-0.5196671113104228,-0.07508389261744974,-0.4742578852173909,-0.14251339822815268,-0.5791227238303864,0.18471984127829183,0.10540676658947296,0.09155081250619235,0.12724152005212605,0.11560571973807572,0.06588333282370333,,-0.17311029951978876,0.06896106753753703,-0.19575285382739271,-0.2055719493809105,-0.13811666632400418,-0.0939267067223501,,-0.010598010299874712,-0.16829075003103133,0.11825377854048458,0.09617144358708284,0.0329651483316774,0.031965312650589266,
20150105,58500,58900,57500,58400,379003,6.58,1.04,17.16,-0.005102040816326481,0.008561643835616417,-0.015410958904109595,-0.006802721088435382,0.3451700260158792,-0.011509817197021044,0.14840902672650857,-0.013680121601080897,-0.26746483375835506,-0.03622411090023925,-0.3587230737733349,-0.07966275313214088,-0.291283286631848,-0.1463444344288255,-0.43078526943512185,0.20748120727276564,0.022761365994473814,0.12615376899259417,0.10075280569898659,0.10715225591416748,0.07050591935996993,,-0.17851573734244847,-0.005405437822659703,-0.20770321219549973,-0.18948774915618286,-0.1442543388550093,-0.09331670982633027,,-0.028018247876665885,-0.017420237576791175,0.08946176652545205,0.10576855482569233,0.046589629416164895,0.026769049230505295,
20150106,58100,60500,57700,60100,799629,6.58,1.04,17.16,-0.005136986301369828,0.006655574043261225,-0.03993344425956735,0.02910958904109595,1.1098223496911634,0.01554579249746535,0.9483130988360249,0.012125294712024282,0.709484537272616,-0.005789909015715522,0.3433544794232388,-0.05115251026207768,0.4931028191003297,-0.12001561813656114,0.2100516904055707,-0.24645804491833087,-0.45393925219109654,0.05798401492977451,0.05407648912270124,0.07384604061662352,0.06941463250215632,,0.009266797477330111,0.18778253481977858,-0.16945859919502296,-0.17294349679370155,-0.1298094903019714,-0.09284899488549209,,0.24341663446423278,0.2714348823408987,0.11477751681102329,0.1356228428978526,0.0659254283389625,0.02760680490063128,
20150107,59500,60600,59300,60000,703542,6.58,1.04,17.16,-0.009983361064891838,0.010000000000000009,-0.011666666666666714,-0.0016638935108153063,-0.1201644762758729,0.012145748987854255,0.386113215933499,0.008912056499075227,0.613500766567783,-0.005469915464942798,0.18341123028060058,-0.05090822809838924,0.31793928936809635,-0.12003031006709775,0.06723722821032863,0.044439422237762635,0.2908974671560935,0.05389910011186163,0.056397096706979066,0.06493607597389013,0.0721385813542006,,0.2788902439371068,0.2696234464597767,-0.06110807250102522,-0.10790243478243604,-0.09594454015195966,-0.09202943229580464,,-0.3135392059038409,-0.5569558403680737,0.009790782023001576,0.06816949048928665,0.04170250759930313,0.02424862067681023,
20150108,60300,63000,60300,62200,1404924,6.58,1.04,17.16,0.004999999999999893,0.012861736334405238,-0.030546623794212246,0.036666666666666625,0.9969298208209318,0.038397328881469184,0.968315274756651,0.04170155752805216,1.670029755813045,0.03133808655281056,1.190402245088868,-0.015147516757270219,1.5588044618857295,-0.08658141100165206,1.109541899082315,-0.1654758549216897,-0.20991527715945235,0.004941314189759916,0.03590504911406324,0.053992537279266915,0.07046306336802996,,0.29574553498979306,0.01685529105268624,0.046455307908398545,-0.06813421371631863,-0.07327372364161758,-0.08761604481306037,,-0.1372088454606797,0.17633036044316117,-0.049189535015365694,0.045048876084645674,0.02956542247157356,0.02128188582782461,
20150109,62600,63500,61600,61700,790827,6.58,1.04,17.16,0.006430868167202508,0.029173419773095732,-0.0016207455429497752,-0.008038585209003246,-0.437103359327622,0.020171957671957674,-0.030356124744815083,0.02953445686634404,0.3753132739459899,0.02355673523556745,0.20519624841373818,-0.0218769816106531,0.4243612206582241,-0.09274712347902803,0.18547619386091307,-0.1337410078310427,0.031734847090647,-0.05875085563210699,0.01639997843704266,0.04789342521628577,0.06845713614380229,,0.16824033574979105,-0.127505199240002,0.11472543496231451,-0.040513709432539104,-0.06849535352570849,-0.0834504330989258,,-0.03507341049306612,0.1021354349676136,-0.054084615054003984,0.03208458174324029,0.030727312169454356,0.018856305828958565,
20150112,61800,62500,61500,62100,345689,6.58,1.04,17.16,0.0016207455429497752,0.006441223832528209,-0.009661835748792313,0.006482982171799101,-0.5628765836270133,0.014374387455080129,-0.5726548239126086,0.032418952618453956,-0.3929671505231238,0.03053435114503822,-0.4652594772895883,-0.014728825660417333,-0.3776499178694991,-0.085632952551565,-0.47934255605604725,0.05087231586773082,0.18461332369877353,-0.09007263391311394,0.01804056753974011,0.055555938520628886,0.06570032987482426,0.022435811806923174,0.20610143799773786,0.03786110224794681,0.19164887003035175,-0.00802717108257397,-0.048035251047414775,-0.07853829734409018,-0.07984848813044736,-0.2645354639574878,-0.22946205346442167,-0.10138805827016836,-0.005963145872358156,0.0019702632937725036,0.01636406847966111,0.06091585018570638
20150113,62300,62500,61200,61500,480779,6.58,1.04,17.16,0.0032206119162641045,0.016260162601626105,-0.004878048780487809,-0.009661835748792313,0.39078478053973376,0.0,-0.354790873596025,0.019224395094464608,-0.16789534961604335,0.020408163265306145,-0.23190334851567396,-0.02342199285430724,-0.13206679393981158,-0.09314327844679293,-0.2752943475929108,0.09238964264246151,0.04151732677473069,-0.02230309640095548,0.0178404592644095,0.05788189619612046,0.06728936210870921,0.02377444258413122,-0.2257419729231102,-0.4318434109208481,0.14464711595026372,-0.012405741622379618,-0.06304363295427498,-0.07713998013344227,-0.08082598197144195,0.1344131087256307,0.39894857268311845,-0.12318876341788879,-0.0042056233034327515,0.014728614569352493,0.013239646634561024,0.0606249868113524
20150114,61800,63300,61600,62100,747541,6.58,1.04,17.16,0.004878048780487809,0.019323671497584627,-0.008051529790660261,0.009756097560975618,0.5548536853731132,0.0029069767441860517,-0.008503193837273493,0.024752475247524774,0.18514651333165166,0.03070539419087126,0.1722043948903158,-0.013450540139800848,0.3390669523026928,-0.0827517447657029,0.12941260721969572,-0.06813138008483816,-0.16052102272729968,-0.04481725686547564,0.004540921623192987,0.06826722799765576,0.06482736407443028,0.02571235477981685,-0.1038471468454573,0.12189482607765291,0.06809963779375089,0.0034957826463628398,-0.07734289450206401,-0.07891376680288492,-0.08026323798268681,0.1762873206954535,0.0418742119698228,-0.0252234580980299,-0.00771633803751417,0.018700306455427623,0.0170676822757955,0.05816275271761735
20150115,62100,62100,60100,60900,831693,6.58,1.04,17.16,0.0,0.019704433497536922,-0.013136288998357948,-0.019323671497584516,0.11257175191728619,-0.012325656827765208,0.3009314165458845,0.001974333662388972,0.22933707473551368,0.01188003655395864,0.2661253657343585,-0.031360178140656836,0.4685738962692283,-0.09894581098575916,0.2522205665747266,0.35177403200459784,0.419905412089436,0.05863272051978187,0.03178701735477089,0.0795550413669456,0.0740067769299746,0.026751798625514932,-0.12984117937748665,-0.02599403253202935,-0.01701770507970505,0.014718801414346751,-0.08699492867895026,-0.07891288489519654,-0.08071878366205286,-0.23183915218716522,-0.4081264728826187,-0.044149519443327,-0.04666952722934635,0.016485383260559296,0.007429857924180039,0.0575659706979572
